source_concept_id,source_concept_name,is_retired,type,Reference code system,Reference code,frequency
1501,Asymptomatic HIV infection,0,Diagnosis,CIEL,5327,26
6531,Retrovir,1,Drug,RxNORM,11413,25
39773,Reason PCP prophylaxis stopped,0,Question,CIEL,1262,24
39188,Reason tuberculosis prophylaxis stopped,0,Question,CIEL,1266,24
992003,GROUP TB 1,0,State,,,22
3680,"X-ray, chest",0,Radiology/Imaging Procedure,CIEL,12,21
40991,CD4 count greater than 200,0,Finding,CIEL,1254,21
37155,Number of weeks pregnant,1,Question,AMPATH,1279,21
5821,Peripheral neuropathy,1,Diagnosis,,,20
6747,Lamivudine / nevirapine / stavudine,0,Drug,CIEL,792,20
48270,Dermatitis,0,Finding,CIEL,119,16
55830,Antiretrovirals used for MTCT prophylaxis,0,Question,CIEL,1084,16
50862,Most,0,Misc,CIEL,1162,15
41290,Reason antiretrovirals stopped,0,Question,CIEL,1252,15
991989,GROUP PMTCT 1,0,State,,,15
652,Abnormal,0,Misc,CIEL,1116,14
991968,GROUP PEDI 1,0,State,,,14
47020,CDC category c,0,ConvSet,CIEL,1203,14
991987,GROUP 14,0,State,,,14
991972,GROUP 4,0,State,,,14
48798,Treatment,0,Misc,CIEL,1185,13
41439,Reason antiretrovirals started,0,Question,CIEL,1251,13
3273,Isoniazid / pyrazinamide / rifampin,0,Drug,CIEL,768,12
991986,GROUP 2,0,State,,,12
991974,GROUP PEDI FOLLOWING,0,State,,,11
991949,GROUP TB 2,0,State,,,11
159,Rifampicin isoniazid pyrazinamide and ethambutol,0,Drug,CIEL,1131,11
991993,GROUP 15,0,State,,,11
45201,WHO stage 3 peds,0,ConvSet,CIEL,1222,11
991953,GROUP 17,0,State,,,11
51334,Pneumocystic carinii pneumonia prophylactic drugs,0,MedSet,CIEL,1157,11
991954,GROUP PMTCT,0,State,,,11
991988,GROUP 16,0,State,,,11
991957,GROUP 18,0,State,,,10
991969,GROUP 10,0,State,,,10
991962,GROUP 12,0,State,,,10
991980,GROUP 21,0,State,,,10
3480,Change formulation,0,Misc Order,CIEL,1258,9
3364,Nutritional support,0,Procedure,CIEL,5484,9
991959,GROUP 6,0,State,,,9
991976,GROUP 9,0,State,,,9
4286,"Respiratory tract infection, NOS",0,Diagnosis,CIEL,999,9
36288,Patient transferred out,0,State,CIEL,160036,9
55829,Antiretroviral drugs,0,MedSet,CIEL,1085,9
45307,WHO stage 2 peds,0,ConvSet,CIEL,1221,9
12889,Pneumonia,1,Diagnosis,SNOMED CT,233604007,9
991964,GROUP 8,0,State,,,9
3361,Adherence counseling,0,Procedure,CIEL,5488,9
3479,Change regimen,0,Misc Order,CIEL,1259,9
202,HIV viral load,0,Test,CIEL,856,8
4307,Aunt,0,Misc,CIEL,975,8
38711,Reason tuberculosis treatment stopped,0,Question,CIEL,1269,8
54821,Tuberculosis drug treatment start date,0,Question,CIEL,1113,8
